StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q4_1,Q2_1
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What percent of North American and European countries are members of NATO (the North American Treaty Organizations)? - % NATO members,What percent of North American and European countries are members of NATO (the North American Treaty Organizations)? - % NATO members
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID1_1""}"
2019-01-22 22:17:01,2019-01-22 22:17:01,Survey Test,,100,0,True,2019-01-22 22:17:01,R_elC6UPiJiEMMbBz,,,,,40.109893798828125,-111.64620208740234375,test,,,81
2019-01-22 22:17:01,2019-01-22 22:17:01,Survey Test,,100,0,True,2019-01-22 22:17:01,R_bQKxevDJIlfhZqZ,,,,,40.109893798828125,-111.64620208740234375,test,,80,
2019-01-22 22:17:01,2019-01-22 22:17:01,Survey Test,,100,0,True,2019-01-22 22:17:01,R_cvF4utCX2HL3IYl,,,,,40.109893798828125,-111.64620208740234375,test,,,94
2019-01-22 22:17:01,2019-01-22 22:17:01,Survey Test,,100,0,True,2019-01-22 22:17:01,R_6kWyUOUeFfZ3HBb,,,,,40.109893798828125,-111.64620208740234375,test,,81,
2019-01-22 22:17:01,2019-01-22 22:17:01,Survey Test,,100,0,True,2019-01-22 22:17:01,R_9Nw9BT0X3ddtPil,,,,,40.109893798828125,-111.64620208740234375,test,,96,
2019-01-22 22:17:01,2019-01-22 22:17:01,Survey Test,,100,0,True,2019-01-22 22:17:01,R_cIwOKtotU49nDCt,,,,,40.109893798828125,-111.64620208740234375,test,,,99
2019-01-22 22:17:01,2019-01-22 22:17:02,Survey Test,,100,1,True,2019-01-22 22:17:02,R_5ajORorAY6ZKTdz,,,,,40.109893798828125,-111.64620208740234375,test,,81,
2019-01-22 22:17:02,2019-01-22 22:17:02,Survey Test,,100,0,True,2019-01-22 22:17:02,R_cMeOtzflkr6tnjT,,,,,40.109893798828125,-111.64620208740234375,test,,,30
2019-01-22 22:17:02,2019-01-22 22:17:02,Survey Test,,100,0,True,2019-01-22 22:17:02,R_eWYwAfCNlrnR16B,,,,,40.109893798828125,-111.64620208740234375,test,,34,
2019-01-22 22:17:02,2019-01-22 22:17:02,Survey Test,,100,0,True,2019-01-22 22:17:02,R_4NMbQXhdZF7G4AZ,,,,,40.109893798828125,-111.64620208740234375,test,,,65
